arrival_time,service_time,num_processors
31574.61633962545,5836.083340190884,100
34281.479906485365,9378.550450361483,78
71977.68595422397,4661388.234457256,76
95555.67803592994,6191.714734265008,76
98000.16351994443,16400.08428787128,68
116560.12569306235,23383.25766639105,118
119022.1816869121,18450.30271744576,65
171413.97019510085,9805.567207788596,119
175259.65321725293,9718.645631920466,108
176638.81241963274,13901.988157985976,110
249440.00782608456,18860.40138283799,70
296345.118131805,17101.833589227666,113
297507.8328687705,12326.579545653454,111
318871.2634241783,22731.58971139341,70
354011.6506290389,29222.147773243334,75
429036.8162067602,4062447.157220553,113
432098.84735710965,19857.449543236733,111
434020.8333353237,13448.964269630753,99
475978.54812096246,21701.702948552567,74
502628.4741532015,10040.157679584227,96
504557.22827846376,13893.250221464727,93
543580.475963594,3498290.6890465333,72
546127.2793643168,6207.146030771156,105
551007.7348183296,7507.5473883445575,105
553394.0439507433,16266.415254334306,123
555138.2046383774,9380.564690016858,98
605256.3627606265,14819.89984807324,116
609429.6899141939,10684137.131289812,82
619221.1183991756,8218.65580702799,71
695956.7002248507,9663.332871234663,85
755206.1877931466,14698.610169755908,73
759768.2378316756,18635.39777860983,124
772460.2325874101,7256326.052163481,66
810755.7692396207,8810.999266481129,99
865092.4700063441,13174.504470907232,102
870776.8968557346,15318.659451145997,98
1009176.8853490653,27391.271343614495,78
1088830.074517921,12421.477817698731,90
1090663.612188977,27466.303318292055,65
1115642.2511957977,16038.28139704893,79
1219331.229734633,4345857.563257959,104
1221982.5043857892,11375.96070529041,75
1223209.526513992,15982.829456874291,73
1370493.9022039215,17019.192488754386,81
1372108.5669516127,15758.471045490454,86
1375028.1089656465,4200220.719236688,119
1504708.8887874056,5613525.064159587,90
1548607.948088596,14257.764334852889,112
1554387.6528025593,16672.00291212567,80
1557125.621695195,7438.917136342323,67
1580339.0609919205,11176.91909500899,93
1580636.0194676975,22909.95015482905,72
1583181.7674539627,4983605.365645185,107
1584268.5813330228,11323.08076602699,127
1586670.4125858399,9219.264029905193,125
1589357.8349528748,15710.62531498123,117
1591534.0524828876,8376.010803629055,120
1595587.1476459445,14486.896581409766,71
1632727.8392833334,8206260.267730955,77
1633713.9139659826,24176.732242703783,78
1636459.666239177,10418.485810677506,122
1638179.7618575788,10286.599878582501,124
1640937.4660193892,5452619.329760501,121
1703761.5668291708,3816450.901619832,77
1704644.8448918802,12341871.106211625,66
1839458.033854112,5540056.138315288,95
1841413.1291841997,15975.442416413114,92
1919227.5870023842,4909700.818206091,86
1923685.4700986724,8319187.656805217,98
2025987.8723091735,32882.124910743056,101
2031361.969921933,6589456.215803164,127
2033213.1068381432,12390.183963294847,72
2054887.9401303143,17243.539722805603,105
2055839.2084224785,18311.02401951521,85
2056787.5684138227,16454.544792877066,88
2057851.7245850018,7562.863284778178,95
2062786.5477398478,6007153.662099361,96
2084416.9559733232,6552.798927916065,75
2089698.6361607548,18297.325138952885,105
2196567.7144061737,10689.849365765844,105
